ExamCode,ExamTitle,Vendor,Level,Subject,Product,Roles,Time Limit,Price
AZ-305,Microsoft Azure Solutions Architect Expert,Microsoft,Advanced,Cloud,Azure,Solution Architect,120 min,$165
AZ-400,Microsoft Azure DevOps Engineer Expert,Microsoft,Advanced,DevOps,Azure,DevOps Engineer,120 min,$165
AZ-500,Microsoft Azure Security Engineer Associate,Microsoft,Intermediate,Security,Azure,Security Engineer,120 min,$165
AZ-700,Microsoft Azure Network Engineer Associate,Microsoft,Intermediate,Networking,Azure,Network Engineer,120 min,$165
SC-100,Microsoft Cybersecurity Architect Expert,Microsoft,Advanced,Security,Azure,Security Architect,120 min,$165
SC-200,Microsoft Security Operations Analyst,Microsoft,Intermediate,Security,Azure,Security Operations Analyst,120 min,$165
SC-300,Microsoft Identity and Access Administrator,Microsoft,Intermediate,Security,Azure,Security Engineer,120 min,$165
SC-400,Microsoft Information Protection Administrator,Microsoft,Intermediate,Security,Azure,Administrator,120 min,$165
SC-900,Microsoft Security Compliance and Identity Fundamentals,Microsoft,Beginner,Security,Azure,Administrator,60 min,$99
PL-900,Microsoft Power Platform Fundamentals,Microsoft,Beginner,Power Platform,Power Platform,Administrator,60 min,$99
PL-100,Microsoft Power Platform App Maker,Microsoft,Intermediate,Power Platform,Power Platform,App Maker,120 min,$165
PL-200,Microsoft Power Platform Functional Consultant,Microsoft,Intermediate,Power Platform,Power Platform,Functional Consultant,120 min,$165
PL-300,Microsoft Power BI Data Analyst,Microsoft,Intermediate,Data,Power Platform,Data Analyst,120 min,$165
PL-400,Microsoft Power Platform Developer,Microsoft,Intermediate,Power Platform,Power Platform,Developer,120 min,$165
PL-600,Microsoft Power Platform Solution Architect,Microsoft,Advanced,Power Platform,Power Platform,Solution Architect,120 min,$165
MB-910,Microsoft Dynamics 365 Fundamentals (CRM),Microsoft,Beginner,Dynamics 365,Dynamics 365,Administrator,60 min,$99
MB-920,Microsoft Dynamics 365 Fundamentals (ERP),Microsoft,Beginner,Dynamics 365,Dynamics 365,Administrator,60 min,$99
MS-102,Microsoft 365 Administrator Expert,Microsoft,Advanced,Modern Workplace,Microsoft 365,Administrator,120 min,$165
MS-900,Microsoft 365 Fundamentals,Microsoft,Beginner,Modern Workplace,Microsoft 365,Administrator,60 min,$99
AI-900,Microsoft Azure AI Fundamentals,Microsoft,Beginner,AI,Azure,AI Engineer,60 min,$99
AI-102,Microsoft Azure AI Engineer Associate,Microsoft,Intermediate,AI,Azure,AI Engineer,120 min,$165
DP-900,Microsoft Azure Data Fundamentals,Microsoft,Beginner,Data,Azure,Data Engineer,60 min,$99
DP-100,Microsoft Azure Data Scientist Associate,Microsoft,Intermediate,Data,Azure,Data Scientist,120 min,$165
DP-203,Microsoft Azure Data Engineer Associate,Microsoft,Intermediate,Data,Azure,Data Engineer,120 min,$165
DP-300,Microsoft Azure Database Administrator Associate,Microsoft,Intermediate,Data,Azure,Database Administrator,120 min,$165
DP-420,Microsoft Azure Cosmos DB Developer Specialty,Microsoft,Intermediate,Data,Azure,Developer,120 min,$165
DP-500,Microsoft Azure Enterprise Data Analyst Associate,Microsoft,Intermediate,Data,Azure,Data Analyst,120 min,$165
DP-600,Microsoft Fabric Analytics Engineer Associate,Microsoft,Intermediate,Data,Fabric,Data Engineer,120 min,$165
350-401,ENCOR - Implementing Cisco Enterprise Network Core Technologies,Cisco,Professional,Networking,Enterprise,Network Engineer,120 min,$400
200-301,CCNA - Implementing and Administering Cisco Solutions,Cisco,Associate,Networking,Enterprise,Network Engineer,120 min,$300
100-490,CCT Routing and Switching,Cisco,Beginner,Networking,Enterprise,Field Technician,90 min,$125
350-101,CLCOR - Implementing Cisco Collaboration Core Technologies,Cisco,Professional,Collaboration,Collaboration,Network Engineer,120 min,$400
350-501,SPCOR - Implementing Cisco Service Provider Network Core Technologies,Cisco,Professional,Service Provider,Service Provider,Network Engineer,120 min,$400
350-601,DCCOR - Implementing Cisco Data Center Core Technologies,Cisco,Professional,Data Center,Data Center,Network Engineer,120 min,$400
350-701,SCOR - Implementing Cisco Security Core Technologies,Cisco,Professional,Security,Security,Security Engineer,120 min,$400
350-801,CLCOR - Implementing Cisco Collaboration Core Technologies,Cisco,Professional,Collaboration,Collaboration,Network Engineer,120 min,$400
350-901,DEVCOR - Developing Applications Using Cisco Core Platforms and APIs,Cisco,Professional,DevNet,DevNet,Developer,120 min,$400
200-901,DEVASC - Developing Applications and Automating Workflows using Cisco Platforms,Cisco,Associate,DevNet,DevNet,Developer,120 min,$300
200-201,CBROPS - Understanding Cisco Cybersecurity Operations Fundamentals,Cisco,Associate,Security,Security,Security Analyst,120 min,$300
CCIE,CCIE Enterprise Infrastructure,Cisco,Expert,Networking,Enterprise,Network Architect,480 min,$1600
CCDE,Cisco Certified Design Expert,Cisco,Expert,Design,Enterprise,Network Architect,480 min,$1600
