ExamCode,ExamTitle,Vendor,Level,Subject,Product,Roles,Time Limit,Price
,Microsoft Office Specialist: Excel for Business Finance Associate,Microsoft,Intermediate,Cloud,Excel,Business User,120 min,$165
MO-211,Microsoft Office Specialist: Expert (Microsoft 365 Apps),Microsoft,Advanced,Modern Workplace,Word,Business User,150 min,$165
"MO-101, MO-201, MO-500",Microsoft Office Specialist: Expert (Office 2019),Microsoft,Advanced,Cloud,Office,Business User,150 min,$165
,Microsoft Office Specialist: Outlook (Office 2016),Microsoft,Intermediate,Cloud,Outlook,Business User,120 min,$165
,Microsoft Office Specialist: Outlook Associate (Office 2019),Microsoft,Intermediate,Cloud,Outlook,Business User,120 min,$165
,Microsoft Office Specialist: PowerPoint (Office 2016),Microsoft,Intermediate,Power Platform,PowerPoint,Business User,120 min,$165
,Microsoft Office Specialist: PowerPoint Associate (Microsoft 365 Apps),Microsoft,Intermediate,Modern Workplace,PowerPoint,Business User,120 min,$165
,Microsoft Office Specialist: PowerPoint Associate (Office 2019),Microsoft,Intermediate,Power Platform,PowerPoint,Business User,120 min,$165
,Microsoft Office Specialist: Word (Office 2016),Microsoft,Intermediate,Cloud,Word,Business User,120 min,$165
,Microsoft Office Specialist: Word Associate (Microsoft 365 Apps),Microsoft,Intermediate,Modern Workplace,Word,Business User,120 min,$165
,Microsoft Office Specialist: Word Associate (Office 2019),Microsoft,Intermediate,Cloud,Word,Business User,120 min,$165
,Microsoft Office Specialist: Word Expert (Microsoft 365 Apps),Microsoft,Advanced,Modern Workplace,Word,Business User,150 min,$165
,Microsoft Office Specialist: Word Expert (Office 2016),Microsoft,Advanced,Cloud,Word,Business User,150 min,$165
,Microsoft Office Specialist: Word Expert (Office 2019),Microsoft,Advanced,Cloud,Word,Business User,150 min,$165
